t1,t2,n,accuracy,balanced_accuracy,f1_macro,kappa
0.38,0.58,129,0.7131782945736435,0.6476689976689977,0.6306211026931966,0.5350672121566336
0.38,0.6,129,0.7364341085271318,0.6739316239316239,0.6682724814063556,0.5720975609756097
0.38,0.62,129,0.751937984496124,0.6879839115133232,0.6944937457741718,0.5948969578017664
0.38,0.64,129,0.7286821705426356,0.6578840514324386,0.662755871579401,0.556918547595682
0.38,0.66,129,0.7209302325581395,0.6484347194024614,0.6494063378776168,0.5445272655943507
0.38,0.68,129,0.7364341085271318,0.6640749931072513,0.6672735760971055,0.5674556213017752
0.38,0.7000000000000001,129,0.7441860465116279,0.6607041107041106,0.6632635510344488,0.5750648832102215
0.38,0.72,129,0.7364341085271318,0.6321367521367521,0.6299695567706144,0.5558930741190766
0.38,0.74,129,0.7364341085271318,0.6239316239316238,0.6202756464904803,0.5525402978983881
0.38,0.76,129,0.751937984496124,0.6373168012616581,0.637925382919125,0.5760936537276649
0.38,0.78,129,0.7674418604651163,0.6479995456739643,0.6563914027149321,0.5986309894212819
0.38,0.8,129,0.751937984496124,0.6037296037296037,0.5862923351158645,0.5664776307498425
0.38,0.8200000000000001,129,0.751937984496124,0.5736900780379042,0.529788838612368,0.5588801025860226
0.38,0.84,129,0.7596899224806202,0.5752318603382434,0.5339402427637722,0.57
0.38,0.86,129,0.7906976744186046,0.5807943690296632,0.5497841338370211,0.6159020732245257
0.38,0.88,129,0.7984496124031008,0.5820512820512821,0.5535650623885918,0.627746947835738
0.38,0.9,129,0.8062015503875969,0.5832607643928399,0.5572778661013955,0.6397453083109919
0.38,0.92,129,0.8217054263565892,0.5855477855477855,0.5645063335068541,0.6642145767315528
0.38,0.9400000000000001,129,0.8217054263565892,0.5855477855477855,0.5645063335068541,0.6642145767315528
0.38,0.96,129,0.8449612403100775,0.5886825817860301,0.5748816768086545,0.7021473100900484
0.38,0.98,129,0.8604651162790697,0.5905982905982906,0.5815054835493519,0.7282939386847649
0.38,1.0,129,0.8682170542635659,0.5915090374106767,0.584733893557423,0.7416352497643732
0.4,0.42,129,0.8372093023255814,0.5644974333498923,0.5736383865880269,0.6907887227485447
0.4,0.44,129,0.8217054263565892,0.687843956809474,0.6503032867823388,0.6778851373357941
0.4,0.46,129,0.7906976744186046,0.6217732884399552,0.6192220136933931,0.6306076996500158
0.4,0.48,129,0.7596899224806202,0.5970819304152638,0.5931216379553362,0.5838276615672806
0.4,0.5,129,0.7596899224806202,0.6206784829426338,0.6107720719975743,0.5865384615384616
0.4,0.52,129,0.7441860465116279,0.6415626856803328,0.622758935708576,0.5684306569343066
0.4,0.54,129,0.7209302325581395,0.609049680478252,0.5990731781046897,0.531807641899385
0.4,0.56,129,0.7131782945736435,0.6294143480844249,0.6142173813063903,0.5268636003172087
0.4,0.58,129,0.7131782945736435,0.6400850611376927,0.6239321586209293,0.529011249259917
0.4,0.6,129,0.7364341085271318,0.668203776899429,0.6632712012208415,0.5669003653599289
0.4,0.62,129,0.7441860465116279,0.671819616038683,0.6796873411389598,0.5776366703045936
0.4,0.64,129,0.7209302325581395,0.6424242424242425,0.6488737827189454,0.5395597858417609
0.4,0.66,129,0.7131782945736435,0.6333333333333333,0.6361376205158322,0.5271916790490342
0.4,0.68,129,0.7286821705426356,0.6504969045291626,0.6553200682697086,0.5505226480836237
0.4,0.7000000000000001,129,0.7364341085271318,0.6488455988455989,0.6527877113513867,0.5584415584415585
